ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,Label
1745480130.505035,CJbk5R0XlGLPcpkw3,192.168.1.27,52640,74.125.130.132,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480130.504877,CtFdYOS4Ph4DroER9,192.168.1.27,52632,74.125.130.132,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480130.505145,ChNWFx28fvVHmGcHIb,192.168.1.27,52650,74.125.130.132,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480130.504532,CA0rIM1OzKCF9lLHk9,192.168.1.27,52626,74.125.130.132,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480130.505563,Cpjzl41YOQIoQmqkNg,192.168.1.27,52654,74.125.130.132,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480130.511082,CBNzWpAtP2qOlIv15,192.168.1.27,52656,74.125.130.132,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480130.587737,CCgh3l416bcj9b52z7,192.168.1.27,43388,172.217.194.95,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480132.633919,CxIULJ2hneiH5f9sy5,192.168.1.27,45056,142.251.10.94,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480123.874084,CNuY6c4Jrr7RuRCJU7,192.168.1.27,44060,118.98.115.77,53,udp,dns,0.004981,0,149,SHR,T,F,0,Cd,0,0,1,177,-,BENIGN
1745480124.579552,CPbVkD2HYOxviQl6Sl,192.168.1.27,50828,118.98.115.77,53,udp,dns,0.017532,0,153,SHR,T,F,0,Cd,0,0,1,181,-,BENIGN
1745480124.597488,CV10Un2H8caoeXJcv2,192.168.1.27,52094,118.98.115.77,53,udp,dns,0.099039,0,132,SHR,T,F,0,Cd,0,0,1,160,-,BENIGN
1745480130.524458,CFSTxeE5wNpSr3lv1,192.168.1.27,52650,74.125.130.132,443,tcp,-,0.116848,25,11836,RSTO,T,F,0,^hCacdCRfRR,3,120,9,3912,-,BENIGN
1745480130.529966,C4IMtY2o0REvDdzly5,192.168.1.27,52656,74.125.130.132,443,tcp,-,0.109100,25,11834,RSTO,T,F,0,^hCacdCRfRR,3,120,7,1019,-,BENIGN
1745480130.527255,CjCdS71kZ9tPIRsG2c,192.168.1.27,52654,74.125.130.132,443,tcp,-,0.114454,25,11836,RSTO,T,F,0,^hCacdCRfRR,3,120,7,1019,-,BENIGN
1745480130.524873,C14UC31ZF7aUf1z251,192.168.1.27,52626,74.125.130.132,443,tcp,-,0.116874,25,11835,RSTO,T,F,0,^hCacdCRfR,2,80,6,967,-,BENIGN
1745480130.496766,Cstx7B4RtBLPiGHq2f,192.168.1.27,44706,118.98.115.77,53,udp,dns,0.004768,0,89,SHR,T,F,0,Cd,0,0,1,117,-,BENIGN
1745480130.497569,CZpY4g2lypE4c7Zos2,192.168.1.27,41508,118.98.115.77,53,udp,dns,0.004154,0,101,SHR,T,F,0,Cd,0,0,1,129,-,BENIGN
1745480130.497982,ChrYDYCvrpCIuDmol,192.168.1.27,54441,118.98.115.77,53,udp,dns,0.004916,0,133,SHR,T,F,0,Cd,0,0,1,161,-,BENIGN
1745480130.503112,CP63Ug2gv6N38mqnVd,192.168.1.27,52411,118.98.115.77,53,udp,dns,0.004310,0,115,SHR,T,F,0,Cd,0,0,1,143,-,BENIGN
1745480140.79331,CEAcaj4ThJbttcR6xf,192.168.1.27,46222,118.98.95.209,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480140.779336,CYlafus3jOpJRcfY6,192.168.1.27,52870,142.251.12.101,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480140.816496,C49j1k3HHFMW87tmKl,192.168.1.27,55036,118.98.95.202,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480140.816141,CXwwg6afMSSrxja0l,192.168.1.27,39006,146.75.46.250,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480140.81594,Cl55Ak1d5112J8yyG6,192.168.1.27,39000,146.75.46.250,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480141.244461,CkjiR93GH3smcXElY,192.168.1.27,58816,146.75.46.248,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480141.292692,Csxney2Nhpc4PhjAkd,192.168.1.27,42090,35.186.224.40,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480141.288987,CuuMRu37AlZIycLJ52,192.168.1.27,58822,146.75.46.248,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480141.267016,C9QkJt2CUAaAiFIzo1,192.168.1.27,49260,36.86.63.182,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480132.626307,CpgZRL30xKuabF8swf,192.168.1.27,39491,118.98.115.77,53,udp,dns,0.004065,0,101,SHR,T,F,0,Cd,0,0,1,129,-,BENIGN
1745480137.717185,C1D5IE20MxaP82W0ql,192.168.1.27,50908,162.159.140.229,443,tcp,-,0.020897,0,0,SHR,T,F,0,Caf,0,0,2,104,-,BENIGN
1745480142.894304,Cs0YC21L7uM5dXYQ9l,192.168.1.27,56918,35.186.224.44,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480142.300831,Cd76wp43OdQgBFZlNa,192.168.1.27,49260,36.86.63.182,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480144.184525,CY9QIk1hVeXyQYwBy3,192.168.1.27,59968,35.244.181.201,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480143.325851,CygcJi1ITorGQf6Z3b,192.168.1.27,49260,36.86.63.182,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480144.6431,C0Zsws1VdTtJlVe5wb,192.168.1.27,55266,34.160.144.191,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480139.740244,CFwAfP3pPOyAnJGX4a,192.168.1.27,53310,36.86.63.182,443,tcp,-,0.004222,0,0,RSTRH,T,F,0,Cr,0,0,1,40,-,BENIGN
1745480144.825686,C5jOJj4934r2wjOtNa,192.168.1.27,52612,34.104.35.123,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480144.933713,Cl2ugd1hvSrrtIqrrb,192.168.1.27,39938,146.75.46.91,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480144.351531,CYi52f4EBkmhJIMf32,192.168.1.27,49260,36.86.63.182,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480135.672308,CRIvlI70wqohku4Ca,fe80::4223:43ff:fe8a:a091,5353,ff02::fb,5353,udp,dns,0.616123,577,0,S0,T,F,0,D,4,769,0,0,-,BENIGN
1745480135.672308,CaqRUP2BkOen8u3k5j,192.168.1.18,5353,224.0.0.251,5353,udp,dns,0.715961,553,0,S0,T,F,0,D,4,665,0,0,-,BENIGN
1745480145.722455,Cm9PFv44jcL7tZQue5,192.168.1.27,54254,57.144.192.128,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480135.860792,ClrIQwWezxkppJlW6,192.168.1.27,44116,118.98.115.77,53,udp,dns,0.004220,0,127,SHR,T,F,0,Cd,0,0,1,155,-,BENIGN
1745480135.865545,Ck395M31tyqhHUKzU2,192.168.1.27,41501,118.98.115.77,53,udp,dns,0.014016,0,103,SHR,T,F,0,Cd,0,0,1,131,-,BENIGN
1745480145.885441,CWxxfF4PW8DP3rcVF2,192.168.1.27,51270,142.250.4.154,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480136.872382,CWOiI03MSq3cTKrTF4,192.168.1.27,44774,35.186.224.44,443,tcp,-,4.203046,0,66,RSTRH,T,F,0,Cadfr,0,0,7,406,-,BENIGN
1745480146.128148,CY0yiEnmJR6KSvFge,192.168.1.27,47634,142.251.10.154,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480136.288432,CTg3mA1EnI35r6rLe4,192.168.1.25,5353,224.0.0.251,5353,udp,dns,0.000065,674,0,S0,T,F,0,D,4,786,0,0,-,BENIGN
1745480136.288481,C9SLQ839kQCs6BQeL8,fe80::f04e:aaff:fe69:bda6,5353,ff02::fb,5353,udp,dns,0.000042,698,0,S0,T,F,0,D,4,890,0,0,-,BENIGN
1745480145.372018,CeuMK249IicOW2vGgk,192.168.1.27,49260,36.86.63.182,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480146.396176,CQtviC1r1m1HYAnqi8,192.168.1.27,49260,36.86.63.182,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480139.050879,Cn6kYq28Fm6MBslWf,192.168.1.19,5353,224.0.0.251,5353,udp,dns,-,-,-,S0,T,F,0,D,1,86,0,0,-,BENIGN
1745480139.154095,CUx9rw2TDezkaDpYW1,fe80::ccc:5df5:a447:cbba,5353,ff02::fb,5353,udp,dns,-,-,-,S0,T,F,0,D,1,106,0,0,-,BENIGN
1745480128.476018,CD5TIE3l5obuI0Vbp,192.168.1.27,53940,146.75.46.91,443,tcp,-,16.490823,0,722,RSTRH,T,F,0,Cadfr,0,0,8,1114,-,BENIGN
1745480140.746164,CXykI918C1l20Ms4Kh,192.168.1.27,45035,118.98.115.77,53,udp,dns,0.003930,0,110,SHR,T,F,0,Cd,0,0,1,138,-,BENIGN
1745480140.746802,Cu3KNO3Xnk1fE7xjo,192.168.1.27,38305,118.98.115.77,53,udp,dns,0.003492,0,110,SHR,T,F,0,Cd,0,0,1,138,-,BENIGN
1745480140.747307,CbU2xT254B8ywSXMJh,192.168.1.27,49364,118.98.115.77,53,udp,dns,0.007295,0,81,SHR,T,F,0,Cd,0,0,1,109,-,BENIGN
1745480140.747757,CH5Qs34Kkcte50Eznl,192.168.1.27,53747,118.98.115.77,53,udp,dns,0.006846,0,134,SHR,T,F,0,Cd,0,0,1,162,-,BENIGN
1745480140.748251,CMLX0K3T3vv2hlIR89,192.168.1.27,46420,118.98.115.77,53,udp,dns,0.053164,0,134,SHR,T,F,0,Cd,0,0,1,162,-,BENIGN
1745480140.755263,CFB3NiH8Vq11mFpYl,192.168.1.27,59939,118.98.115.77,53,udp,dns,0.014437,0,324,SHR,T,F,0,Cd,0,0,1,352,-,BENIGN
1745480140.757244,CGYgyD4GH55BMgIwN5,192.168.1.27,52902,118.98.115.77,53,udp,dns,0.009107,0,121,SHR,T,F,0,Cd,0,0,1,149,-,BENIGN
1745480140.757938,C0Xhqr2eECwyINfR1i,192.168.1.27,41145,118.98.115.77,53,udp,dns,0.005527,0,407,SHR,T,F,0,Cd,0,0,1,435,-,BENIGN
1745480140.758362,Cinm4m48pnBN47Tr81,192.168.1.27,38918,118.98.115.77,53,udp,dns,0.015877,0,319,SHR,T,F,0,Cd,0,0,1,347,-,BENIGN
1745480140.766093,CNGMi41L2nxVU0r4K6,192.168.1.27,49472,118.98.115.77,53,udp,dns,0.057097,0,132,SHR,T,F,0,Cd,0,0,1,160,-,BENIGN
1745480140.766622,CWXjFB2SGXJu3J9ty4,192.168.1.27,53366,118.98.115.77,53,udp,dns,0.016945,0,121,SHR,T,F,0,Cd,0,0,1,149,-,BENIGN
1745480140.769207,CIjYHK3ShMJmBSGVPh,192.168.1.27,50427,118.98.115.77,53,udp,dns,0.005378,0,212,SHR,T,F,0,Cd,0,0,1,240,-,BENIGN
1745480140.770033,Caj2fd36TBrkQXykLb,192.168.1.27,52726,118.98.115.77,53,udp,dns,0.004206,0,170,SHR,T,F,0,Cd,0,0,1,198,-,BENIGN
1745480140.774341,C5aTcc3z7lg7Qz8pge,192.168.1.27,52837,118.98.115.77,53,udp,dns,0.005554,0,114,SHR,T,F,0,Cd,0,0,1,142,-,BENIGN
1745480140.77507,CP9GoIJ11mrT6Hbmg,192.168.1.27,46054,118.98.115.77,53,udp,dns,0.017227,0,182,SHR,T,F,0,Cd,0,0,1,210,-,BENIGN
1745480140.77594,CRJhkG2colAg3ZTMPd,192.168.1.27,54159,118.98.115.77,53,udp,dns,0.013720,0,297,SHR,T,F,0,Cd,0,0,1,325,-,BENIGN
1745480140.776232,CvfdmW3DRLK1pmFG46,192.168.1.27,59544,118.98.115.77,53,udp,dns,0.005222,0,380,SHR,T,F,0,Cd,0,0,1,408,-,BENIGN
1745480140.77651,CRPDEh1h7Np3Vhopna,192.168.1.27,35804,118.98.115.77,53,udp,dns,0.013697,0,292,SHR,T,F,0,Cd,0,0,1,320,-,BENIGN
1745480140.789965,CUGFty42pXgQXiddSh,192.168.1.27,48567,118.98.115.77,53,udp,dns,0.005021,0,114,SHR,T,F,0,Cd,0,0,1,142,-,BENIGN
1745480141.241009,CdCDQz21AhoY95gbnk,192.168.1.27,41901,118.98.115.77,53,udp,dns,0.060579,0,145,SHR,T,F,0,Cd,0,0,1,173,-,BENIGN
1745480141.250389,CPjeYs2GN3JEMbrTG5,192.168.1.27,55711,118.98.115.77,53,udp,dns,0.005578,0,333,SHR,T,F,0,Cd,0,0,1,361,-,BENIGN
1745480141.251053,CBP20RkFUirrobl3,192.168.1.27,49002,118.98.115.77,53,udp,dns,0.013982,0,150,SHR,T,F,0,Cd,0,0,1,178,-,BENIGN
1745480141.251909,CHMy3t1Fw5Azh1RRy5,192.168.1.27,43568,118.98.115.77,53,udp,dns,0.004769,0,125,SHR,T,F,0,Cd,0,0,1,153,-,BENIGN
1745480141.252595,CFoN7448HGjKrgHer8,192.168.1.27,45851,118.98.115.77,53,udp,dns,0.005271,0,159,SHR,T,F,0,Cd,0,0,1,187,-,BENIGN
1745480141.253238,CjT0f83tAWJ8AhGkok,192.168.1.27,50243,118.98.115.77,53,udp,dns,0.004628,0,120,SHR,T,F,0,Cd,0,0,1,148,-,BENIGN
1745480141.254148,CjgLJd3FznQSgGT8wf,192.168.1.27,46947,118.98.115.77,53,udp,dns,0.022949,0,146,SHR,T,F,0,Cd,0,0,1,174,-,BENIGN
1745480141.254694,CJyTxj1OY5tZNUkApa,192.168.1.27,46342,118.98.115.77,53,udp,dns,0.019623,0,129,SHR,T,F,0,Cd,0,0,1,157,-,BENIGN
1745480141.25676,CHnmF71ulwKZx4G6Qh,192.168.1.27,38529,118.98.115.77,53,udp,dns,0.005205,0,114,SHR,T,F,0,Cd,0,0,1,142,-,BENIGN
1745480141.258326,Corfwj4IE0oEWur9pf,192.168.1.27,49822,118.98.115.77,53,udp,dns,0.005339,0,125,SHR,T,F,0,Cd,0,0,1,153,-,BENIGN
1745480141.265248,CXwlx94mCR1q24bvTa,192.168.1.27,39533,118.98.115.77,53,udp,dns,0.004797,0,119,SHR,T,F,0,Cd,0,0,1,147,-,BENIGN
1745480141.306007,CpuXeH2m6ibAifVY1k,192.168.1.27,41716,118.98.115.77,53,udp,dns,0.004789,0,358,SHR,T,F,0,Cd,0,0,1,386,-,BENIGN
1745480141.311283,CEvBlb4gnWDcfKHQs9,192.168.1.27,52076,118.98.115.77,53,udp,dns,0.005602,0,114,SHR,T,F,0,Cd,0,0,1,142,-,BENIGN
1745480141.323332,C9urkE1puJdczqRVve,192.168.1.27,44672,118.98.115.77,53,udp,dns,0.004174,0,108,SHR,T,F,0,Cd,0,0,1,136,-,BENIGN
1745480141.26726,CTOnVN1Cw1Hl3TcuPl,192.168.1.27,58816,146.75.46.248,443,tcp,-,5.955833,0,483,RSTO,T,F,0,^hCadftRR,4,160,9,959,-,BENIGN
1745480141.309384,CtDFT83zAxsQ7k89Ki,192.168.1.27,58822,146.75.46.248,443,tcp,-,5.913936,0,483,RSTO,T,F,0,^hCadftRR,4,160,8,907,-,BENIGN
1745480142.47244,CotcUt1cna4U4uIkzg,192.168.1.27,36640,118.98.115.77,53,udp,dns,0.004604,0,101,SHR,T,F,0,Cd,0,0,1,129,-,BENIGN
1745480148.445101,CRbWYz2qia9Gi7JUtb,192.168.1.27,49260,36.86.63.182,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480152.472502,CvSz451CtTinAgu1A2,192.168.1.27,52928,146.75.46.248,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480142.547116,CaMVGV1T5DyqV3D9Pk,fe80::335e:8c8:8d2d:e67c,56830,ff02::1:3,5355,udp,dns,0.410641,44,0,S0,T,F,0,D,2,140,0,0,-,BENIGN
1745480142.547908,CCpgN02XX1ZRfLeTX2,192.168.1.10,56830,224.0.0.252,5355,udp,dns,0.409850,44,0,S0,T,F,0,D,2,100,0,0,-,BENIGN
1745480142.547908,CUGQZg2Og1Q6hYbjs,fe80::335e:8c8:8d2d:e67c,62209,ff02::1:3,5355,udp,dns,0.410839,44,0,S0,T,F,0,D,2,140,0,0,-,BENIGN
1745480142.548303,CDklOK1e2x95QIQT6c,192.168.1.10,62209,224.0.0.252,5355,udp,dns,0.410444,44,0,S0,T,F,0,D,2,100,0,0,-,BENIGN
1745480147.104928,CghIEf3CPNcBYv2u5,192.168.1.27,42246,35.186.224.24,443,tcp,-,0.715413,0,39,SHR,T,F,0,Cdfa,0,0,4,247,-,BENIGN
1745480143.281506,CpIg5E306f6EkIZreh,192.168.1.27,45343,118.98.115.77,53,udp,dns,0.015882,0,99,SHR,T,F,0,Cd,0,0,1,127,-,BENIGN
1745480143.477572,CTFbU61VZxhmbDf4ai,192.168.1.27,41100,118.98.115.77,53,udp,dns,0.003865,0,99,SHR,T,F,0,Cd,0,0,1,127,-,BENIGN
1745480143.930641,CDaJ6oCEmq6fsOEG1,192.168.1.27,35225,118.98.115.77,53,udp,dns,0.005262,0,163,SHR,T,F,0,Cd,0,0,1,191,-,BENIGN
1745480143.931866,CrOZeB4ofiP5goKOCk,192.168.1.27,55213,118.98.115.77,53,udp,dns,0.249579,0,175,SHR,T,F,0,Cd,0,0,1,203,-,BENIGN
1745480154.309904,CwcXNx4gEEGcOFGXSj,192.168.1.27,42364,36.91.231.59,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480154.310271,ChSDtt4HVyrH7POLid,192.168.1.27,42370,36.91.231.59,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480144.785261,C5MmkG5MmFbnxNF6a,192.168.1.27,56352,118.98.115.77,53,udp,dns,0.005365,0,154,SHR,T,F,0,Cd,0,0,1,182,-,BENIGN
1745480144.790882,CDDV4g3QKuoBNwlxcd,192.168.1.27,53639,118.98.115.77,53,udp,dns,0.005520,0,121,SHR,T,F,0,Cd,0,0,1,149,-,BENIGN
1745480144.795092,CReflF2jg8XJJUl8Kk,192.168.1.27,55053,118.98.115.77,53,udp,dns,0.098895,0,133,SHR,T,F,0,Cd,0,0,1,161,-,BENIGN
1745480144.79666,CcEcaL2FzsMjHEPRZ8,192.168.1.27,51917,118.98.115.77,53,udp,dns,0.020201,0,112,SHR,T,F,0,Cd,0,0,1,140,-,BENIGN
1745480144.818383,CshQip1hTH2KDmpTSd,192.168.1.27,57000,118.98.115.77,53,udp,dns,0.004226,0,63,SHR,T,F,0,Cd,0,0,1,91,-,BENIGN
1745480144.819051,CtycNP3fdgcokvmRS4,192.168.1.27,51790,118.98.115.77,53,udp,dns,0.003955,0,75,SHR,T,F,0,Cd,0,0,1,103,-,BENIGN
1745480144.953518,CeiDDu4CvKBeTlqIz9,192.168.1.27,39938,146.75.46.91,443,tcp,-,5.253899,1,5840,RSTO,T,F,0,^hCacdftRR,4,160,9,556,-,BENIGN
1745480145.607479,CEZP05imBSCUK7E2g,192.168.1.27,52205,118.98.115.77,53,udp,dns,0.056540,0,111,SHR,T,F,0,Cd,0,0,1,139,-,BENIGN
1745480145.659553,C8r8jp4iUGyvHNqQl5,192.168.1.27,54356,118.98.115.77,53,udp,dns,0.051206,0,66,SHR,T,F,0,Cd,0,0,1,94,-,BENIGN
1745480146.638448,C7m9Z81R62ciumyrSg,192.168.1.27,57210,118.98.115.77,53,udp,dns,0.023521,0,109,SHR,T,F,0,Cd,0,0,1,137,-,BENIGN
1745480146.638449,CKGdqc4FiWrmdFG3h2,192.168.1.27,58753,118.98.115.77,53,udp,dns,0.023520,0,113,SHR,T,F,0,Cd,0,0,1,141,-,BENIGN
1745480146.638627,CXfubn3mZ2JuiGxQSd,192.168.1.27,35968,118.98.115.77,53,udp,dns,0.023343,0,109,SHR,T,F,0,Cd,0,0,1,137,-,BENIGN
1745480152.475895,CE24X53bDv13CKHgK4,192.168.1.27,49260,36.86.63.182,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480147.593534,CAsVny2g6CDNfi9jB2,192.168.1.27,59404,118.98.115.77,53,udp,dns,0.037440,0,251,SHR,T,F,0,Cd,0,0,1,279,-,BENIGN
1745480147.631193,CLp3mZa40HkScAfod,192.168.1.27,33231,118.98.115.77,53,udp,dns,0.021331,0,174,SHR,T,F,0,Cd,0,0,1,202,-,BENIGN
1745480148.220393,C3ZugN3pSRQBG33Qpj,fe80::335e:8c8:8d2d:e67c,61750,ff02::1:3,5355,udp,dns,0.411073,44,0,S0,T,F,0,D,2,140,0,0,-,BENIGN
1745480148.220625,Cm1Vxa3H5fvMth3Z0g,192.168.1.10,61750,224.0.0.252,5355,udp,dns,0.410852,44,0,S0,T,F,0,D,2,100,0,0,-,BENIGN
1745480148.221049,CP90xj3zs0UwRFSqh1,fe80::335e:8c8:8d2d:e67c,53734,ff02::1:3,5355,udp,dns,0.410417,44,0,S0,T,F,0,D,2,140,0,0,-,BENIGN
1745480148.221049,C3tmWY1ejJBxweBOwg,192.168.1.10,53734,224.0.0.252,5355,udp,dns,0.410417,44,0,S0,T,F,0,D,2,100,0,0,-,BENIGN
1745480159.113842,CsMD9A4S7IgxrRwhy4,192.168.1.27,36264,118.98.95.224,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480159.114272,CnfnuV2cEBtaCX92a2,192.168.1.27,36268,118.98.95.224,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BENIGN
1745480120.285716,CS1vih1iVLXWgFBWLe,192.168.1.27,47118,151.101.2.91,443,tcp,-,34.008696,0,24,RSTO,T,F,0,CafdtR,2,80,8,440,-,BENIGN
1745480149.584457,CyjNT33R7kcmSDHL69,192.168.1.27,50049,118.98.115.77,53,udp,dns,0.017426,0,120,SHR,T,F,0,Cd,0,0,1,148,-,BENIGN
1745480121.82335,CDfVqM3bZ7z7rS0bOc,192.168.1.27,33494,118.98.77.99,80,tcp,-,33.623940,0,0,SHR,T,F,0,Caf,0,0,5,200,-,BENIGN
1745480121.823749,CMzTIL3x6rDjT5Oae8,192.168.1.27,33484,118.98.77.99,80,tcp,-,33.623541,0,0,SHR,T,F,0,Caf,0,0,5,200,-,BENIGN
1745480150.699549,CmgFJY2nMXHIyqmIB7,192.168.1.27,34458,118.98.115.77,53,udp,dns,0.008009,0,151,SHR,T,F,0,Cd,0,0,1,179,-,BENIGN
1745480150.699862,CCfNbO1T0KpnspM911,192.168.1.27,33154,118.98.115.77,53,udp,dns,0.007697,0,190,SHR,T,F,0,Cd,0,0,1,218,-,BENIGN
1745480150.708482,C2xbuj6Gf2DSQvP77,192.168.1.27,33605,118.98.115.77,53,udp,dns,0.009125,0,119,SHR,T,F,0,Cd,0,0,1,147,-,BENIGN
1745480151.578245,CrlLws1MyTsroUZyCa,192.168.1.27,36310,118.98.115.77,53,udp,dns,0.004445,0,93,SHR,T,F,0,Cd,0,0,1,121,-,BENIGN
1745480151.57853,Cm17dbgY0CI2py5Fb,192.168.1.27,54249,118.98.115.77,53,udp,dns,0.005569,0,105,SHR,T,F,0,Cd,0,0,1,133,-,BENIGN
1745480142.541346,CGDZBu2Lb6pMWpHCI6,192.168.1.10,5353,224.0.0.251,5353,udp,dns,6.685532,448,0,S0,T,F,0,D,16,896,0,0,-,BENIGN
1745480142.543336,CIqbDw2SfCupynQXig,fe80::335e:8c8:8d2d:e67c,5353,ff02::fb,5353,udp,dns,6.684579,448,0,S0,T,F,0,D,16,1216,0,0,-,BENIGN
1745480142.949166,CNQ64R3JTQVimm2dSh,192.168.1.10,137,192.168.1.255,137,udp,dns,7.174333,300,0,S0,T,T,0,D,6,468,0,0,-,BENIGN
1745480154.237125,CNqa3b4G8Z1VDffkHl,192.168.1.27,51083,118.98.115.77,53,udp,dns,0.005623,0,278,SHR,T,F,0,Cd,0,0,1,306,-,BENIGN
1745480154.237341,CwI8cu2ar3tlewJQt6,192.168.1.27,50853,118.98.115.77,53,udp,dns,0.006082,0,218,SHR,T,F,0,Cd,0,0,1,246,-,BENIGN
1745480154.238332,CJSwHR1Wq81NlxGsGe,192.168.1.27,43920,118.98.115.77,53,udp,dns,0.004417,0,195,SHR,T,F,0,Cd,0,0,1,223,-,BENIGN
